Diameter,HMag,Albedo,Density,Strength,Alpha,Velocity,Angle,Azimuth, Latitude,Longitude,LumEff,Ablation,Altitude,GroundE,BlastRad1,BlastRad2,BlastRad4,BlastRad10,ThermRad2,ThermRad3,ThermRad4,ThermRad6,BlastPop1,BlastPop2,BlastPop4,BlastPop10,ThermPop2,ThermPop3,ThermPop4,ThermPop6,TsuWet,TsuCas,GlobalCas
12.0,28.9338,0.0326,1381.27,1270000.0,0.1844,17213.0,54.98,100.15,11.4465,103.054,0.002206,4.035e-10,32140.0,3.28656e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.44,23.1877,0.0176,2451.45,1464000.0,0.2862,26882.0,56.41,118.13,46.1361,-0.6846,0.002985,1.133e-09,6840.0,47.7989,230416.0,99101.0,54343.5,28068.0,56521.9,43389.9,30297.7,25070.5,10282100.0,2144640.0,835640.0,215140.0,880353.0,621930.0,270177.0,143982.0,0.0,0.0,0.0
136.29,21.3987,0.261,2533.48,170200.0,0.1475,21256.0,79.34,190.28,49.1549,116.757,0.000711,8.895e-10,9630.0,0.254517,158012.0,88431.0,58198.8,22948.3,7183.44,0.0,0.0,0.0,395865.0,262663.0,25376.6,2400.09,220.669,0.0,0.0,0.0,0.0,0.0,0.0
11.51,28.1168,0.0752,1111.57,122200.0,0.1679,21166.0,57.14,335.36,77.072,32.8208,0.02569,1.307e-08,41150.0,4.03615e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.75,28.1656,0.1584,2159.9,2982000.0,0.1571,18740.0,30.47,80.96,27.8059,-24.0623,0.000534,4.549e-09,31500.0,8.87328e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.24,21.6504,0.433,2678.97,4822000.0,0.2439,26932.0,49.48,316.62,-52.2417,108.673,0.0128,1.22e-08,19420.0,3.67367e-07,69737.8,51484.2,26277.9,0.0,35051.3,24055.2,10037.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.36,28.0469,0.0352,2071.62,2217000.0,0.1954,19279.0,63.86,300.14,-9.08186,-124.547,0.0161,8.413e-10,28280.0,1.49194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.02,25.008,0.0247,1284.53,1849000.0,0.1138,32562.0,40.52,124.31,0.751204,-169.042,0.009666,2.237e-08,29490.0,1.41684e-14,43083.8,17355.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.74,23.3462,0.2792,1778.89,3069000.0,0.1567,15110.0,55.19,251.56,38.9393,12.8859,0.0004956,4.392e-08,25280.0,1.53202e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.46,29.6227,0.0278,2989.77,1735000.0,0.1491,23460.0,15.94,245.02,-21.2616,-136.025,0.003308,9.879e-09,36910.0,1.31474e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.96,23.1744,0.4472,1271.11,2297000.0,0.2894,13195.0,61.53,150.8,40.8454,153.362,0.001005,5.751e-10,21350.0,0.000184261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.24,25.954,0.106,1916.68,1608000.0,0.2024,12206.0,51.16,130.0,-58.3917,37.0844,0.02318,1.262e-08,25880.0,2.86002e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.95,23.0099,0.1421,2952.83,1564000.0,0.2022,18712.0,60.52,115.94,12.2715,129.586,0.002611,7.834e-09,15810.0,3.17218e-05,53305.8,36933.0,17840.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.78,24.9833,0.249,1944.23,300300.0,0.2292,20766.0,46.29,218.22,-15.6111,-141.015,0.001067,7.758e-09,30880.0,8.99827e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.29,25.908,0.1191,2026.1,1165000.0,0.2253,13424.0,31.28,173.71,11.6172,123.57,0.001301,1.007e-08,28870.0,2.82675e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.58,27.7034,0.254,1201.86,4690000.0,0.2891,22472.0,65.59,86.11,-71.701,146.774,0.02471,6.531e-10,29980.0,1.39597e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.63,22.2829,0.4071,2068.28,503700.0,0.1252,32417.0,54.61,216.79,11.5538,-73.6496,0.0004371,8.037e-09,24410.0,1.44443e-07,50091.3,27643.9,2275.97,0.0,0.0,0.0,0.0,0.0,114803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.96,28.422,0.2115,1796.99,3692000.0,0.141,24502.0,68.72,288.09,4.61511,30.4264,0.001604,3.807e-10,32360.0,5.10997e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.07,25.8234,0.1211,5108.78,297400.0,0.2817,18639.0,25.63,287.65,8.83649,-98.0244,0.006349,1.194e-08,29490.0,1.53618e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
